description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes
"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]",11154,10200,32,"[[""IDA"", ""IMP""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [""IDA"", ""IBA""], [""ISS""], [], [], [], [], [""IDA"", ""IMP"", ""ISS""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [""NAS""], [""IEA""], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""TAS"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear division,GO:0000280,6.696772209663739e-14,"[""GO:0048285""]",0.16,query_1,200,0.10774410774410774,True,GO:BP,297,77,9,Belinostat,all_selected,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | IEA | TAS | IBA | ISS | NAS
"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]",11154,16282,54,"[[""IDA"", ""IMP"", ""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IMP"", ""IBA""], [""IBA""], [], [""IMP""], [], [""IMP""], [], [""IDA"", ""IMP"", ""ISO"", ""IBA"", ""IEA""], [], [], [""IDA"", ""ISS"", ""IEA""], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS""], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [""IDA"", ""IBA""], [""ISS""], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [""IDA""], [], [], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP"", ""IEA""], [""IMP"", ""TAS""], [], [], [""IGI""], [""IBA""], [], [], [], [], [], [], [], [""IMP"", ""TAS""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [""IMP"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [""IDA"", ""IMP""], [""IBA"", ""NAS""], [""IMP"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IMP""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS""], [], [], [""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IEA""], [], [], [""IBA""], [], [], [], [""IDA""], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], []]",cell cycle process,GO:0022402,2.4746839190971644e-13,"[""GO:0007049"", ""GO:0009987""]",0.27,query_1,200,0.05993340732519423,True,GO:BP,901,6159,9,Belinostat,all_selected,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 55355 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 10460 | 2237 | 26586 | 9837 | 5901 | 332 | 79019 | 9319 | 3832 | 10403 | 5888 | 3978 | 7153 | 10112 | 9787 | 259266 | 699 | 55143 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 4751 | 4605 | 11339 | 8091 | 4303 | 993,IDA | IMP | IBA | IEA | NAS | TAS | ISO | ISS | IGI
"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]",11154,22838,35,"[[""IDA"", ""IBA""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [], [], [""IMP""], [""IBA""], [], [], [], [""IMP"", ""IBA""], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [], [""ISS""], [], [], [], [], [""IDA"", ""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP""], [""IMP"", ""TAS""], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""ISS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [""IBA"", ""NAS""], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IDA""], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IEA""], [""IEA""], [], [], [""IBA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",chromosome organization,GO:0051276,4.0597698805228577e-13,"[""GO:0006996""]",0.175,query_1,200,0.09067357512953368,True,GO:BP,386,12715,9,Belinostat,all_selected,11065 | 81620 | 5347 | 24137 | 146909 | 55355 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 56992 | 220134 | 4085 | 10460 | 2237 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 7153 | 9787 | 699 | 55143 | 7272 | 1058 | 9212 | 3833 | 4751 | 4605 | 11339 | 8091,IDA | IBA | IMP | TAS | IEA | ISS | NAS
"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",11154,14450,15,"[[""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of mitotic sister chromatid separation,GO:0010965,4.968315439165926e-13,"[""GO:0051306"", ""GO:1905818""]",0.075,query_1,200,0.3191489361702128,True,GO:BP,47,4327,9,Belinostat,all_selected,11065 | 5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 9787 | 699 | 55143 | 7272 | 9212,IDA | IMP | IBA | NAS | IEA | TAS
"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]",11154,12639,61,"[[""IDA"", ""IMP"", ""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IBA""], [], [], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IDA"", ""IMP"", ""IEA""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [""IMP"", ""IBA""], [""IDA"", ""IBA""], [], [""IMP""], [], [""IMP""], [], [""IDA"", ""IMP"", ""ISO"", ""IBA"", ""IEA""], [], [], [""IDA"", ""ISS"", ""TAS"", ""IEA""], [""IDA"", ""ISS"", ""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS""], [""IDA"", ""IMP"", ""IBA"", ""NAS""], [""IDA"", ""IBA""], [""ISS"", ""TAS""], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [""IDA""], [], [""IBA"", ""IEA""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""NAS"", ""IEA""], [], [], [""IMP"", ""IEA""], [""IMP"", ""TAS""], [], [], [""IGI""], [""IBA""], [], [], [], [], [], [], [], [""IMP"", ""TAS""], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [""NAS""], [""IMP"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [""ISS"", ""IEA""], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""ISS"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [""IEA""], [], [""IMP"", ""IBA"", ""IEA""], [""IDA"", ""IMP""], [""IBA"", ""NAS""], [""IMP"", ""IEA""], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [""IMP""], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [""IMP""], [""IDA"", ""IMP"", ""ISS"", ""IBA"", ""TAS"", ""NAS""], [], [], [""TAS""], [""IMP"", ""IBA"", ""NAS""], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""IEA""], [""IBA"", ""IEA""], [], [], [""IBA""], [], [], [], [""IDA""], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [""NAS""], []]",cell cycle,GO:0007049,8.160414338954007e-13,"[""GO:0009987""]",0.305,query_1,200,0.052226027397260275,True,GO:BP,1168,2516,9,Belinostat,all_selected,11065 | 81620 | 4171 | 1019 | 9133 | 5347 | 2305 | 890 | 24137 | 146909 | 11170 | 55355 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 4616 | 220134 | 4085 | 10460 | 2237 | 26586 | 9837 | 5901 | 332 | 6839 | 79019 | 9319 | 10370 | 3832 | 10403 | 5888 | 3978 | 7957 | 7153 | 10112 | 9787 | 259266 | 699 | 55143 | 23481 | 7272 | 1058 | 9212 | 9833 | 3833 | 5243 | 3082 | 4751 | 4605 | 11339 | 8091 | 4303 | 993 | 26959,IDA | IMP | IBA | IEA | NAS | TAS | ISO | ISS | IGI
"""The creation of two or more organelles by division of one organelle."" [GOC:jid]",11154,21905,32,"[[""IDA"", ""IMP""], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [""IDA"", ""IMP"", ""TAS"", ""IEA""], [], [], [], [""IMP""], [""IBA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [""IBA"", ""TAS""], [""NAS""], [""IDA"", ""IBA""], [""ISS""], [], [], [], [], [""IDA"", ""IMP"", ""ISS""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""TAS"", ""NAS"", ""IEA""], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [""NAS""], [""IEA""], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""IDA"", ""IMP"", ""TAS"", ""NAS""], [], [], [], [""IMP"", ""IBA"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""TAS"", ""IEA""], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",organelle fission,GO:0048285,8.160414338954007e-13,"[""GO:0006996""]",0.16,query_1,200,0.0975609756097561,True,GO:BP,328,11782,9,Belinostat,all_selected,11065 | 81620 | 9133 | 5347 | 24137 | 146909 | 23397 | 22974 | 11130 | 57405 | 9055 | 1063 | 4288 | 56992 | 220134 | 4085 | 5901 | 332 | 9319 | 3832 | 10403 | 5888 | 7153 | 9787 | 259266 | 699 | 55143 | 7272 | 9212 | 3833 | 4751 | 4605,IDA | IMP | IEA | TAS | IBA | ISS | NAS
"""The process in which sister chromatids are physically detached from each other during mitosis."" [GOC:ai]",11154,22858,15,"[[""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic sister chromatid separation,GO:0051306,8.160414338954007e-13,"[""GO:0000070"", ""GO:0051304"", ""GO:1903047""]",0.075,query_1,200,0.30612244897959184,True,GO:BP,49,12735,9,Belinostat,all_selected,11065 | 5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 9787 | 699 | 55143 | 7272 | 9212,IDA | IMP | IBA | NAS | IEA | TAS
"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",11154,33227,16,"[[""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [""ISO"", ""IEA""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of chromosome separation,GO:1905818,1.3626703506204635e-12,"[""GO:0051304"", ""GO:0051983""]",0.08,query_1,200,0.26229508196721313,True,GO:BP,61,23104,9,Belinostat,all_selected,11065 | 5347 | 23397 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 9787 | 699 | 55143 | 7272 | 9212,IDA | IMP | ISO | IEA | ISS | IBA | NAS | TAS
"""The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II)."" [GOC:ai, GOC:lb, GOC:mah, GOC:mtg_cell_cycle, PMID:20352243]",11154,22856,16,"[[""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [""ISO"", ""IEA""], [], [], [], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",chromosome separation,GO:0051304,2.947367808092729e-12,"[""GO:0007059"", ""GO:0022402""]",0.08,query_1,200,0.25,True,GO:BP,64,12733,9,Belinostat,all_selected,11065 | 5347 | 23397 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 9787 | 699 | 55143 | 7272 | 9212,IDA | IMP | ISO | IEA | ISS | IBA | NAS | TAS
"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]",11154,12666,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic spindle assembly checkpoint signaling,GO:0007094,5.714741376551183e-12,"[""GO:0045841"", ""GO:0071173"", ""GO:0071174""]",0.065,query_1,200,0.35135135135135137,True,GO:BP,37,2543,9,Belinostat,all_selected,5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 699 | 55143 | 7272 | 9212,IMP | IDA | IBA | NAS | IEA | TAS
"""A signaling process that contributes to a mitotic cell cycle checkpoint that originates from the spindle and delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and oriented, the completion of anaphase until chromosomes are attached to the spindle, or mitotic exit and cytokinesis when the spindle does not form."" [GOC:mtg_cell_cycle]",11154,25459,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",mitotic spindle checkpoint signaling,GO:0071174,5.714741376551183e-12,"[""GO:0007093"", ""GO:0031577""]",0.065,query_1,200,0.35135135135135137,True,GO:BP,37,15336,9,Belinostat,all_selected,5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 699 | 55143 | 7272 | 9212,IMP | IDA | IBA | NAS | IEA | TAS
"""A signaling process that delays the metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mah]",11154,25458,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""ISS"", ""IBA""], [""NAS""], [], [], [""NAS""], [], [], [], [], [], [], [""IMP""], [""IDA"", ""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",spindle assembly checkpoint signaling,GO:0071173,5.714741376551183e-12,"[""GO:0031577""]",0.065,query_1,200,0.35135135135135137,True,GO:BP,37,15335,9,Belinostat,all_selected,5347 | 11130 | 57405 | 1063 | 220134 | 4085 | 332 | 9319 | 10403 | 699 | 55143 | 7272 | 9212,IMP | IDA | ISS | IBA | NAS | IEA | TAS
